ukprn,university,kiscourseid,title,crseurl,provadd
10007158,University of Southampton,544,Music and Business Management,https://www.southampton.ac.uk/courses/music-business-management-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,545,Music and Business Management with Year Abroad,https://www.southampton.ac.uk/courses/music-business-management-with-year-abroad-degree-ba,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,546,Mathematics with Foundation Year,https://www.southampton.ac.uk/courses/mathematics-degree-mmath,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,547,Mathematics with Foundation Year,https://www.southampton.ac.uk/courses/mathematics-degree-bsc,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,548,Aerospace Electronic Engineering,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,549,Aerospace Electronic Engineering,https://www.southampton.ac.uk/courses/aerospace-electronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,550,Civil Engineering and Architecture with Foundation Year,https://www.southampton.ac.uk/courses/civil-engineering-architecture-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,553,Mechatronic Engineering,https://www.southampton.ac.uk/courses/mechatronic-engineering-degree-beng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,554,Mechatronic Engineering,https://www.southampton.ac.uk/courses/mechatronic-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,557,Aeronautics and Astronautics with Industrial Placement Year,https://www.southampton.ac.uk/courses/aeronautics-astronautics-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,559,Aeronautics and Astronautics / Aerodynamics with Industrial Placement Year,https://www.southampton.ac.uk/courses/aeronautics-astronautics-aerodynamics-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,560,Electrical Engineering with Industrial Studies,https://www.southampton.ac.uk/courses/electrical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,561,Civil Engineering and Architecture with Industrial Placement Year,https://www.southampton.ac.uk/courses/civil-engineering-architecture-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,566,Mechanical Engineering/Sustainable Energy Systems with Industrial Placement Year,https://www.southampton.ac.uk/courses/mechanical-engineering-sustainable-energy-systems-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,569,Mechanical Engineering/Aerospace with Industrial Placement Year,https://www.southampton.ac.uk/courses/mechanical-engineering-aerospace-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
10007158,University of Southampton,571,Acoustical Engineering with Industrial Placement Year,https://www.southampton.ac.uk/courses/acoustical-engineering-degree-meng,"University Road, Southampton, SO17 1BJ"
