url,degree_type,degree_title,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-swedish-ba,BA,Dutch and Swedish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,BA,Dutch and Ukrainian,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,BA,Dutch and Yiddish,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Dutch or Yiddish."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,BA,Dutch,ABB,Foreign language preferred.,34,"A total of 16 points in three higher level subjects preferably including a foreign language, with no score higher level below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,BA,Dutch with Film Studies,ABB,Modern foreign language preferred.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,Management Studies BA,Dutch with,AAB,Modern foreign language preferred.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba,BA,Economics and Business with East European Studies with a Year Abroad,AAA,Mathematics required. Economics and Further Mathematics preferred.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,BA,Economics and Business with East European Studies,AAA,Mathematics required. Economics and Further Mathematics preferred.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,BA,Early Childhood Education,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,BA,"Education, Society and Culture",ABB,"A Social Science, Classics, English Literature and/or Language (not English Language acquisition) or Business Studies preferred.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5."
https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,BA,English,AAA,English Literature (or combined Literature and Language) required.,38,"A total of 18 points in three higher level subjects including English A1 Literature/Language and Literature at grade 6, with no higher level score below 5."
