ukprn,kiscourseid,university_name,title,degree_type,median_salary,a_level_grade_req,a_level_subject_reqs,ib_grade_req,ib_subject_req,url,provaddress,placement_year,year_abroad,foundation_year_available,offer_rate
10003270,H160,Imperial College London,Molecular Bioengineering,MEng,36000,A*AA,A* in Mathematics; A in Chemistry,39,6 in Mathematics at higher level; 6 in Chemistry at higher level; 6 in a third subject at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/molecular-bioengineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,67%
10003270,H201,Imperial College London,Civil Engineering,MEng,31500,A*A*A,A* in Mathematics; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 6 in Physics at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,53%
10003270,H202,Imperial College London,Civil Engineering with a Year Abroad,MEng,31500,A*A*A,A* in Mathematics; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 6 in Physics at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/civil-engineering/#OptionA,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,Yes,No,53%
10003270,H301,Imperial College London,Mechanical Engineering,MEng,35000,A*A*A,A* in Mathematics; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,6 in Mathematics at higher level; 6 in Physics at higher level; 6 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/mechanical-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,21%
10003270,H401,Imperial College London,Aeronautical Engineering,MEng,35000,A*A*A,A* in Mathematics; A/A* in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics* at higher level; 7 in Physics at higher level; 7 in Mathematics* at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/aeronautical-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,23%
10003270,H600,Imperial College London,Electrical and Electronic Engineering,BEng,41000,A*A*A,A* in Mathematics; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 7 in Physics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-beng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,18%
10003270,H604,Imperial College London,Electrical and Electronic Engineering,MEng,41000,A*A*A,A* in Mathematics; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 7 in Physics at higher level; 7 in Mathematics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-meng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,40%
10003270,H6N2,Imperial College London,Electrical and Electronic Engineering with Management,MEng,41000,A*A*A,A* in Mathematics; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 7 in Physics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/electrical-electronic-engineering-management/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,41%
10003270,H801,Imperial College London,Chemical Engineering,MEng,36500,A*A*A,A* in Chemistry; A* in Mathematics,40,"7 in Mathematics at higher level; 7 in Chemistry at higher level; 6 in Biology, Business Management, Economics or Physics at higher level",https://www.imperial.ac.uk/study/courses/undergraduate/chemical-engineering/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,46%
10003270,HG65,Imperial College London,Electronic and Information Engineering,BEng,41000,A*A*A,A* in Mathematics; A*/A in Physics (A* is required if applying with three A-levels. At least an A is required if applying with four A-levels),40,7 in Mathematics at higher level; 7 in Physics at higher level,https://www.imperial.ac.uk/study/courses/undergraduate/electronic-information-beng/,"Faculty Building, Exhibition Road, London, SW7 2AZ",No,No,No,32%
