Course Title,Course code/ Route code,Highly skilled work marker,Industry sector - main,Location of employment (region),Work - Standard occupational classification 2020
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,London,Further education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,Not known,Further education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,Not known,Managers and proprietors in other services n.e.c.
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Psychology,TEPSECSPSY01/TEPSECSPSY01,Not applicable,Unknown,Not known,
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,,London,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,,Middle East,Physical scientists
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,"IT, Technology & Telecomms",London,"IT business analysts, architects and systems designers"
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,North East,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,High-skilled,Teaching or other educational activities,Yorkshire and The Humber,Secondary education teaching professionals
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,Low-skilled,Retail and Wholesale activities,London,Sales and retail assistants
PGCE Science: Physics with Mathematics,TEPSECSPWM01/TEPSECSPWM01,Not applicable,Unknown,Not known,
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,,London,"Actors, entertainers and presenters"
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,,London,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,England region unknown,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,London,Child and early years officers
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,Not known,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Religious Education,TEPSECSREE01/TEPSECSREE01,Low-skilled,Retail and Wholesale activities,London,Sales and retail assistants
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,,England region unknown,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,,London,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,,London,Teaching professionals n.e.c.
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Academic Research and HE,London,Business and financial project management professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Policy and Government,North East,Legal associate professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,Asia,Teachers of English as a foreign language
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,East Midlands,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,East of England,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,London,Higher level teaching assistants
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,London,Teaching professionals n.e.c.
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,Not known,Teaching professionals n.e.c.
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,South East,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,South West,Secondary education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,High-skilled,Teaching or other educational activities,Wales,Further education teaching professionals
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,Low-skilled,Retail and Wholesale activities,London,Sales and retail assistants
PGCE Social Science,TEPSECSSSC01/TEPSECSSSC01,Not applicable,Unknown,Not known,
MA Caribbean and Latin American Studies,TMAAMRSCLA01/TMAAMRSCLA01,High-skilled,,London,"Business, research and administrative professionals n.e.c."
MA Caribbean and Latin American Studies,TMAAMRSCLA01/TMAAMRSCLA01,High-skilled,,London,Marketing associate professionals
MA Caribbean and Latin American Studies,TMAAMRSCLA01/TMAAMRSCLA01,High-skilled,Health and Social Care,Other European Union,Business and financial project management professionals
MA Caribbean and Latin American Studies,TMAAMRSCLA01/TMAAMRSCLA01,Medium-skilled,"Hospitality, Leisure and Tourism",London,Personal assistants and other secretaries
MA Caribbean and Latin American Studies,TMAAMRSCLA01/TMAAMRSCLA01,Medium-skilled,"Other professional, scientific and technical activities",London,Other administrative occupations n.e.c.
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,,Asia,Programmers and software development professionals
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,,Asia,Social and humanities scientists
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,,London,"Business, research and administrative professionals n.e.c."
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Academic Research and HE,London,Other educational professionals n.e.c
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,"Charities, NGOs and international development",London,Education advisers and school inspectors
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Health and Social Care,Not known,Business and financial project management professionals
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,"Publishing, Journalism, or Translation",London,Data analysts
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Retail and Wholesale activities,East of England,Information technology professionals n.e.c.
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Retail and Wholesale activities,London,Business and related research professionals
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Social or Market Research,London,Business and related research professionals
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,High-skilled,Teaching or other educational activities,London,Secondary education teaching professionals
MA Latin American Studies,TMAAMRSLAS01/TMAAMRSLAS01,Low-skilled,"Hospitality, Leisure and Tourism",South East,Bar and catering supervisors
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,,Asia,Programmers and software development professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,,London,Business and related research professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,,London,"Business, research and administrative professionals n.e.c."
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Academic Research and HE,Asia,Higher education teaching professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Academic Research and HE,London,Higher education teaching professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Academic Research and HE,London,Other educational professionals n.e.c
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Accountancy & Financial Services,London,Business and financial project management professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Accountancy & Financial Services,North America,Finance and investment analysts and advisers
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Accountancy & Financial Services,Not known,Chartered and certified accountants
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Arts admin;  Libraries, Museums and Heritage",London,Data analysts
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Arts admin;  Libraries, Museums and Heritage",North America,Functional managers and directors n.e.c.
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Charities, NGOs and international development",England region unknown,Social and humanities scientists
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Consultancy,London,"Actuaries, economists and statisticians"
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Health and Social Care,East of England,Marketing associate professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Health and Social Care,London,Business and related research professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Health and Social Care,London,Public relations professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Hospitality, Leisure and Tourism",London,Conference and exhibition managers and organisers
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Hospitality, Leisure and Tourism",Not known,Fitness and wellbeing instructors
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"IT, Technology & Telecomms",London,Quality assurance and regulatory professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Logistics and Distribution,Not known,Managers and proprietors in other services n.e.c.
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Manufacturing,East Midlands,Marketing and commercial managers
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Media,London,Business and related research professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Media,London,Public relations professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Media,Not known,Managers and directors in the creative industries
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"Other professional, scientific and technical activities",London,"Business, research and administrative professionals n.e.c."
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Policy and Government,Asia,Chief executives and senior officials
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Policy and Government,London,"Business, research and administrative professionals n.e.c."
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Policy and Government,London,Elected officers and representatives
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,Policy and Government,London,Public relations professionals
MA United States Studies: History and Politics,TMAAMRSUHP01/TMAAMRSUHP01,High-skilled,"PR, Advertising, Marketing",London,Public relations professionals
